title,function,function_group,industries,industry_group,cluster
legal counsel -copenhagen,legal,Legal and Finance,consumer services,Retail and Consumer Goods,0
legal counsel,legal,Legal and Finance,computer games,Technology and Information,0
group financial analyst,"accounting,auditing,finance,analyst","Legal and Finance, Management and Leadership, Research and Analysis","retail,hospitals,health care,pharmaceutical manufacturing","Healthcare and Pharmaceuticals, Manufacturing, Retail and Consumer Goods",0
financial controller,"accounting,auditing,finance","Legal and Finance, Management and Leadership","it services,it consulting",Services and Miscellaneous,0
revenue manager,"accounting,auditing,finance","Legal and Finance, Management and Leadership",travel arrangements,Services and Miscellaneous,0
financial controller | nordics,"accounting,auditing,finance","Legal and Finance, Management and Leadership",pharmaceutical manufacturing,Manufacturing,0
general ledger (gl) senior accountant,"accounting,auditing,finance","Legal and Finance, Management and Leadership",financial services,Financial and Business Services,0
junior trader,"analyst,business development,finance","Legal and Finance, Management and Leadership, Research and Analysis","oil,gas",Energy and Environment,0
global privacy counsel,legal,Legal and Finance,"business consulting,services","Financial and Business Services, Other",0
er du interesseret i revision af landets største offentlige økonomier og opgaver relateret hertil - så er det måske dig vi søger,"accounting,auditing,finance","Legal and Finance, Management and Leadership",accounting,Financial and Business Services,0
junior payments specialist - english/spanish,"accounting,auditing,finance","Legal and Finance, Management and Leadership",human resources services,Financial and Business Services,0
"student worker, corporate tax","finance,accounting,auditing","Legal and Finance, Management and Leadership",apparel & fashion,Retail and Consumer Goods,0
financial analyst,"finance,accounting,auditing","Legal and Finance, Management and Leadership","hospitals,health care",Healthcare and Pharmaceuticals,0
investment analyst,finance,Legal and Finance,"venture capital,private equity principals",Financial and Business Services,0
business controller/junior business controller,"accounting,auditing,analyst,finance","Legal and Finance, Management and Leadership, Research and Analysis","oil,gas",Energy and Environment,0
assistant production accountant,finance,Legal and Finance,"technology,information,internet",Technology and Information,0
lawyer,legal,Legal and Finance,"technology,information,internet",Technology and Information,0
immigration senior associate,legal,Legal and Finance,"business consulting,services","Financial and Business Services, Other",0
head of revenue performance - northern europe,"accounting,auditing,finance","Legal and Finance, Management and Leadership",travel arrangements,Services and Miscellaneous,0
legal counsel,legal,Legal and Finance,computer games,Technology and Information,0
tax manager,"accounting,auditing,finance","Legal and Finance, Management and Leadership",utilities,Other,0
orderyoyo |  head of fp&a,"finance,management","Legal and Finance, Management and Leadership",software development,Technology and Information,0
junior legal associate |it law|,legal,Legal and Finance,"staffing,recruiting",Financial and Business Services,0
junior accountant,"accounting,auditing,finance","Legal and Finance, Management and Leadership",financial services,Financial and Business Services,0
financial auditor,"accounting,auditing,finance","Legal and Finance, Management and Leadership",accounting,Financial and Business Services,0
group financial controller,"strategy,planning,finance,accounting,auditing","Legal and Finance, Management and Leadership","retail luxury goods,jewelry","Other, Retail and Consumer Goods",0
value excellence consultant,"strategy,planning,finance,accounting,auditing","Legal and Finance, Management and Leadership","retail luxury goods,jewelry","Other, Retail and Consumer Goods",0
professional for regulatory affairs cmc,legal,Legal and Finance,"technology,information,internet",Technology and Information,0
coo - operations manager - avp,finance,Legal and Finance,financial services,Financial and Business Services,0
manager m&a poland,legal,Legal and Finance,veterinary services,Other,0
financial controller,"accounting,auditing,finance","Legal and Finance, Management and Leadership",industrial machinery manufacturing,Manufacturing,0
